NAME, RAJ, DECJ
J0034-0721, 00:34:08.8703, -07:21:53.409
J0108-1431, 01:08:08.347016, -14:31:50.1871
J0134-2937, 01:34:18.6824, -29:37:17.042
J0151-0635, 01:51:22.7179, -06:35:02.987
J0152-1637, 01:52:10.8539, -16:37:53.641
J0211-8159, 02:11:59.0, -81:59:36.2
J0255-5304, 02:55:56.2925, -53:04:21.275
J0304+1932, 03:04:33.115, 19:32:51.4
J0401-7608, 04:01:51.75, -76:08:12.95
J0421-0345, 04:21:33.55502672, -03:45:06.60357141
J0455-6951, 04:55:47.55, -69:51:34.3
J0459-0210, 04:59:51.94027817, -02:10:06.62699187
J0517+2212, 05:17:17.147, 22:12:51.9
J0519-6932, 05:19:46.917, -69:32:23.48
J0520-2553, 05:20:36.18385086, -25:53:12.28983763
J0525+1115, 05:25:56.4483, 11:15:19.08
J0533+0402, 05:33:25.828, +04:01:59.7
J0536-7543, 05:36:30.82, -75:43:54.8
J0540-7125, 05:40:30.8, -71:25:31.4
J0601-0527, 06:01:58.9752, -05:27:50.871
J0621+0336, 06:21:11.221, +03:36:45.52
J0624-0424, 06:24:20.02715206, -04:24:50.45345382
J0629+2415, 06:29:05.7273, +24:15:41.546
J0630-2834, 06:30:49.404393, -28:34:42.77881
J0659+1414, 06:59:48.196, +14:14:19.4
J0709-5923, 07:09:32.533, -59:23:55.60
J0711+0931, 07:11:36.18, +09:31:25
J0725-1635, 07:25:00.40286603, -16:35:45.82043305
J0729-1836, 07:29:32.3369, -18:36:42.244
J0737-2202, 07:37:44.071, -22:02:05.32
J0738-4042, 07:38:32.262, -40:42:39.42
J0746-4529, 07:46:59.518, -45:29:26.65
J0758-1528, 07:58:29.0708, -15:28:08.738
J0809-4753, 08:09:43.835, -47:53:54.70
J0812-3905, 08:12:14.802, -39:05:48.92
J0818-3049, 08:18:49.3, -30:49:31
J0818-3232, 08:18:25.935, -32:32:30.53
J0820-1350, 08:20:26.3817, -13:50:55.859
J0820-3921, 08:20:49.11, -39:21:55.7
J0820-4114, 08:20:15.46, -41:14:35.2
J0823+0159, 08:23:09.7651, +01:59:12.469
J0831-4406, 08:31:32.43, -44:06:11.9
J0836-4233, 08:36:05.85, -42:33:24.9
J0837+0610, 08:37:05.642, 06:10:14.56
J0837-4135, 08:37:21.1943, -41:35:14.563
J0846-3533, 08:46:06.040, -35:33:41.2
J0849-6322, 08:49:42.59, -63:22:35.0
J0855-3331, 08:55:38.41198009, -33:31:39.31506969
J0856-6137, 08:56:59.27, -61:37:52.71
J0901-4624, 09:01:40.12, -46:24:48.5
J0902-6325, 09:02:32.4, -63:25:12.0
J0904-4246, 09:04:59.083, -42:46:13.4
J0904-7459, 09:04:10.47, -74:59:41.7
J0905-4536, 09:05:23.90, -45:36:53.0
J0905-5127, 09:05:51.96, -51:27:54.05
J0905-6019, 09:05:15.245, -60:19:22.06
J0907-5157, 09:07:15.901, -51:57:59.36
J0909-7212, 09:09:35.81, -72:12:08.94
J0922+0638, 09:22:14.022, 06:38:23.30
J0924-5302, 09:24:08.722, -53:02:42.6
J0924-5814, 09:24:30.82, -58:14:05.10
J0930-2301, 09:30:02.82, -23:01:45
J0932-3217, 09:32:39.15, -32:17:14.2
J0934-5249, 09:34:28.237, -52:49:27.30
J0940-5428, 09:40:58.22, -54:28:40.6
J0942-5552, 09:42:14.88, -55:52:55.1
J0943+2253, 09:43:32.3975, 22:53:05.66
J0944-1354, 09:44:28.9559, -13:54:41.63
J0952-3839, 09:52:17.2, -38:39:10.2
J0955-5304, 09:55:29.461, -53:04:16.64
J0959-4809, 09:59:26.212, -48:09:47.47
J1000-5149, 10:00:28.141, -51:49:58.12
J1001-5507, 10:01:37.85, -55:07:07.8
J1001-5559, 10:01:08.60, -55:59:00.2
J1001-5939, 10:01:32.23, -59:39:17.8
J1002-5919, 10:02:20.50, -59:19:37.2
